wavelength,mean_flux,mean_err
1639.5,5.280868596491109,0.3053013512107606
1641.0,5.4337876929023325,0.31087813955621396
1642.5,5.202271338570008,0.3133232625498446
1644.0,4.144200301341987,0.29266037737434275
1645.5,4.162387024103929,0.2816206083854949
1647.0,4.167666817135246,0.27945920975929706
1648.5,4.408329637712467,0.28911866219406557
1650.0,4.156945410707896,0.2647590576305519
1651.5,4.378232455898224,0.27519429969514264
1653.0,3.6476577845506064,0.26333117018806823
1654.5,4.1833440619725595,0.26538228810855113
1656.0,3.9996823372880073,0.2628089691758299
1657.5,4.005761954677813,0.2593975117006535
1659.0,4.299494625331195,0.25832955886247594
1660.5,3.868732669523682,0.2543523656119119
1662.0,3.713892351716572,0.24447649504097463
1663.5,4.056183174907892,0.25145840655237833
